,time,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
19,111,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,112,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,114,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,117,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,120,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,123,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,126,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,127,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,129,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,140,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,142,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,147,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,151,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,155,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,158,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,159,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,162,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,164,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,167,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,170,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,173,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,175,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,177,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,
42,182,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,
43,186,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,
44,188,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,
45,193,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,
46,194,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47,196,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,
48,197,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
49,199,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
50,200,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
51,201,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
52,203,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
53,204,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
54,207,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
55,210,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
56,221,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
57,267,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
58,269,0.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,
59,274,0.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
60,278,0.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,
61,282,0.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
62,285,0.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
63,286,0.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
64,288,0.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
65,290,0.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
66,294,0.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
67,297,0.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
68,300,0.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
69,303,0.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
70,314,0.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
71,351,0.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
72,353,0.0,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,
73,358,0.0,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,
74,362,0.0,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,
75,366,0.0,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,
76,368,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,18.0,26.0,,,,,,,,,,,,,,,,,,,,,,,
77,369,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,15.0,26.0,,,,,,,,,,,,,,,,,,,,,,,
78,370,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,14.0,26.0,,,,,,,,,,,,,,,,,,,,,,,
79,372,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,12.0,26.0,,,,,,,,,,,,,,,,,,,,,,,
80,373,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,12.0,23.0,,,,,,,,,,,,,,,,,,,,,,,
81,374,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,11.0,23.0,,,,,,,,,,,,,,,,,,,,,,,
82,378,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,23.0,,,,,,,,,,,,,,,,,,,,,,,
83,381,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,9.0,20.0,,,,,,,,,,,,,,,,,,,,,,,
84,384,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,6.0,20.0,,,,,,,,,,,,,,,,,,,,,,,
85,387,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0,18.0,,,,,,,,,,,,,,,,,,,,,,,
86,390,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,4.0,16.0,,,,,,,,,,,,,,,,,,,,,,,
87,393,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,16.0,,,,,,,,,,,,,,,,,,,,,,,
88,394,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,15.0,,,,,,,,,,,,,,,,,,,,,,,
89,401,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,13.0,,,,,,,,,,,,,,,,,,,,,,,
90,404,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,
91,407,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
92,416,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,
93,424,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,
94,430,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
95,431,0.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
96,433,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,,,,,,,,,,,,,,,,,,,,,,
97,437,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,,,,,,,,,,,,,,,,,,,,,,
98,438,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,,,,,,,,,,,,,,,,,,,,,,
99,442,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,,,,,,,,,,,,,,,,,,,,,,
100,446,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,,,,,,,,,,,,,,,,,,,,,,
101,449,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,,,,,,,,,,,,,,,,,,,,,,
102,450,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,
103,452,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,,,,,,,,,,,,,,,,,,,,,,
104,453,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,
105,455,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,
106,462,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,
107,465,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,
108,468,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,
109,472,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,
110,482,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
111,483,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
112,485,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,,,,,,,,,,,,,,,,,,,,,
113,490,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,,,,,,,,,,,,,,,,,,,,,
114,494,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,,,,,,,,,,,,,,,,,,,,
115,498,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,
116,501,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,
117,502,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,
118,504,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,
119,507,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,
120,510,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,
121,513,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,
122,516,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,
123,517,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,
124,519,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,
125,530,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
126,533,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
127,535,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,,,,,,,,,,,,,,,,,,,,
128,540,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,,,,,,,,,,,,,,,,,,,,
129,544,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,,,,,,,,,,,,,,,,,,,
130,548,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,
131,551,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,
132,552,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,
133,554,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,
134,557,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,
135,560,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,
136,563,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,
137,566,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,
138,567,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,
139,569,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,
